storeno	city	zip
6254	FAIRVIEW HEIGHTS	62208
6256	MASSILLON	44646
6257	FARMINGTON HILLS	48336
6259	SAN ANTONIO	78230
6260	SALINAS	93907
6261	JACKSON	38305
6262	SAINT CHARLES	63303
6263	GREENSBURG	15601
6264	LAYTON	84041
6265	KIRKLAND	98034
6266	YAKIMA	98901
6268	MIAMI	33126
6271	OLIVETTE	63132
6276	TEMPE	85282
6277	PHOENIX	85018
6278	ALBUQUERQUE	87107
6279	MESQUITE	75150
6281	SALT LAKE CITY	84102
6282	LAS VEGAS	89109
6283	SCOTTSDALE	85251
6285	RICHARDSON	75080
6286	S.ARLINGTON	76017
6287	PHOENIX	85013
6288	HOUSTON	77024
6289	HOUSTON	77019
6290	TUCSON	85711
6291	PORTLAND	97266
6292	SALEM	97301
6293	AURORA	80012
6298	STOCKTON	95207
6299	BAKERSFIELD	93309
6300	TOPEKA	66614
6301	KANSAS CITY	64114
6302	INVER GROVE HEIGHTS	55077
6303	MINNEAPOLIS	55408
6305	LITTLETON	80123
6306	KANSAS CITY	64118
6307	MODESTO	95356
6308	VIRGINIA BEACH	23462
6309	WESTERVILLE	43081
6310	REDWOOD CITY	94063
6311	AUSTIN	78759
6313	SANTA CLARA	95051
6316	READING	19605
6317	CAMPBELL	95008
6319	PHOENIX	85022
6321	BOISE	83709
6323	INDIANAPOLIS	46240
6324	RAPID CITY	57701
6325	VALDOSTA	31602
6326	WINSTON SALEM	27103
6331	OMAHA	68144
6335	FRESNO	93720
6336	SANTA BARBARA	93101
6337	WOODBURY	55125
6339	PETOSKEY	49770
6340	OVIEDO	32765
6342	NOVI	48375
6344	GAINESVILLE	32608
6347	CHESAPEAKE	23320
6348	EAU CLAIRE	54701
6349	CRANBERRY TOWNSHIP	16066
6350	ATHENS	30606
6352	JENSEN BEACH	34957
6353	MARLBOROUGH	01752
6354	BALLARD	98107
6355	NEWPORT NEWS	23602
6357	LAKEWOOD	14750
6358	KENOSHA	53142
6359	MILWAUKEE	53221
6362	PONCE	00716
6366	SHORELINE	98133
6367	WAUSAU	54401
6368	SAN FRANCISCO	94103
6369	SAN JOSE	95130
6370	CRYSTAL LAKE	60014
6371	BIRMINGHAM	35242
6374	OLATHE	66062
6375	WACO	76710
6377	LAS VEGAS	89110
6378	KISSIMMEE	34741
6379	GLEN ALLEN	23060
6380	MIDLAND	48642
6384	EAGAN	55121
6387	LAKEWOOD	90712
6388	IRVINE	92602
6389	RIVERSIDE	92507
6391	SANTA CLARITA	91350
6392	CHILLICOTHE	45601
6393	SHEBOYGAN	53081
6395	HUTCHINSON	67501
6396	BEND	97701
6398	STOW	44224
6399	FORT COLLINS	80525
6400	KAHULUI	96732
6401	ANN ARBOR	48104
6402	SALINA	67401
6403	GRANADA HILLS	91344
6404	MYRTLE BEACH	29577
6405	FLAGSTAFF	86004
6406	ALBUQUERQUE	87114
6407	MIAMI	33156
6408	GOLDEN	80401
6410	DES MOINES	50312
6411	MISSION VIEJO	92691
6412	BALDWIN PARK	91706
6414	RICHMOND	47374
6415	COLUMBUS	43219
6416	DUBLIN	43017
6417	YAVAPAI IND RSRVE AZ	86301
6418	AUSTELL	30106
6419	SAINT LOUIS PARK	55416
6420	TWIN FALLS	83301
6421	POCATELLO	83201
6423	IDAHO FALLS	83401
6424	CASPER	82609
6426	SAN ANGELO	76904
6427	STEUBENVILLE	43952
6428	PLACERVILLE	95667
6429	OMAHA	68132
6430	PANAMA CITY	32405
6431	MARQUETTE	49855
6433	PUEBLO	81008
6436	PROVO	84601
6437	MARIETTA	30068
6438	DEKALB	60115
6439	REDDING	96003
6440	DOWNEY	90241
6441	CORAL GABLES	33134
6442	GREEN BAY	54302
6443	MINNEAPOLIS	55413
6444	BATAVIA	60510
6445	LOUISVILLE	40241
6446	KANSAS CITY	64151
6447	WALNUT CREEK	94597
6449	GLEN CARBON	62034
6450	SANTA FE	87505
6451	MARANA	85741
6452	PHOENIX	85044
6453	MARTINSVILLE	24112
6454	DANVILLE	24540
6455	CARLISLE	17013
6456	CHARLESTON	25309
6457	KEARNEY	68847
6458	LYNCHBURG	24502
6459	OGDEN	84404
6460	SAVANNAH	31405
6463	APPLE VALLEY	55124
6464	SAN ANTONIO	78232
6465	WILLOUGHBY	44094
6466	FAIRBANKS	99701
6467	BRADLEY	60915
6468	GARNER	27529
6470	GADSDEN	35903
6471	MANKATO	56001
6472	HILO	96720
6473	ROUND ROCK	78664
6474	ROSWELL	88201
6476	ABERDEEN	57401
6477	FARMINGTON	87402
6478	ARROYO GRANDE	93420
6479	STILLWATER	55082
6480	KANNAPOLIS	28083
6483	GRIFFIN	30223
6485	THE WOODLANDS	77380
6486	KILLEEN	76542
6487	ABILENE	79606
6491	JACKSONVILLE	32225
6492	DENTON	76205
6493	HARAHAN	70123
6494	SPRINGFIELD	45504
6495	CHRISTIANSBURG	24073
6498	SAN FRANCISCO	94118
6499	PARMA	44134
6500	CORVALLIS	97330
6501	COLLEGE STATION	77840
6502	BUFFALO	14207
6503	HICKORY	28602
6504	LAS CRUCES	88011
6505	CHICAGO	60614
6506	BURLINGTON	08016
6508	GRAND JUNCTION	81505
6509	GREAT FALLS	59404
6510	CLOVIS	93611
6511	OSHKOSH	54902
6513	MINOT	58701
6514	INDIANAPOLIS	46229
6515	CHANDLER	85224
6516	COLUMBIA	38401
6517	LANCASTER	17601
6518	SAN ANTONIO	78209
6519	ASHTABULA	44004
6520	COOKEVILLE	38501
6521	VICTORVILLE	92392
6522	PASADENA	91101
6523	SANTA CRUZ	95060
6525	COEUR D ALENE	83815
6526	VICKSBURG	39180
6527	LAKE ZURICH	60047
6528	RIVERHEAD	11901
6529	KALAMAZOO	49009
6530	MILLEDGEVILLE	31061
6531	BELLINGHAM	98226
6532	ELGIN	60123
6533	WICHITA	67226
6534	STRONGSVILLE	44136
6535	ORANGEBURG	29118
6536	DELAFIELD	53018
6537	KEY WEST	33040
6539	JONESBORO	72401
6541	BATAVIA	14020
6542	CASA GRANDE	85122
6543	CLOVIS	88101
6544	MARTINSBURG	25401
6545	CARMEL	46032
6546	FORT DODGE	50501
6547	ALBEMARLE	28001
6548	DEFIANCE	43512
6549	PASADENA	77505
6550	MANITOWOC	54220
6553	JANESVILLE	53545
6554	COLORADO SPRINGS	80906
6556	CANTON	48187
6557	NASHVILLE	37214
6558	DANVILLE	61832
6559	MERRIAM	66202
6561	CUMMING	30041
6562	WILMINGTON	28405
6563	KELSO	98626
6564	HOMESTEAD	33030
6566	HOLLAND	49424
6567	PORTERVILLE	93257
6568	SANFORD	27330
6569	TYLER	75703
6570	EAST PEORIA	61611
6571	SANDY	84070
6572	DAVIS	95618
6573	STOCKTON	95212
6575	DOUGLASVILLE	30135
6576	GRAND FORKS	58201
6579	ELKO	89801
6580	MILWAUKIE	97267
6581	LANCASTER	43130
6582	COUNCIL BLUFFS	51501
6583	WASHINGTON	15301
6584	LAS VEGAS	89123
6585	COLUMBUS	47203
6586	GRAND ISLAND	68803
6587	NORFOLK	68701
6588	COLUMBUS	31906
6589	SOLON	44139
6590	BAXTER	56425
6591	GREENWOOD	29649
6593	MENOMONEE FALLS	53051
6594	MICHIGAN CITY	46360
6595	MOHEGAN LAKE	10547
6596	STATESBORO	30458
6597	ONEONTA	13820
6598	WEST BEND	53095
6599	YORK	17402
6600	COLUMBUS	43240
6601	CLEVELAND HEIGHTS	44118
6602	ALAMEDA	94501
6604	SILVERTHORNE	80498
6605	GLEN ALLEN	23059
6606	VINCENNES	47591
6607	SACRAMENTO	95814
6608	DOTHAN	36303
6609	LINCOLN	68516
6610	HAGERSTOWN	21740
6611	AUBURN	04210
6612	MODESTO	95355
6613	ROCKWALL	75032
6614	WHITE LAKE	48386
6616	SUPERIOR	80027
6617	CHESTER	23831
6618	DUBLIN	31021
6619	MESA	85204
6621	PARIS	75460
6622	SCOTTSDALE	85254
6625	SELMA	78154
6626	FARMINGTON	63640
6627	O FALLON	63366
6628	WASHINGTON	63090
6629	MOBILE	36608
6631	BEMIDJI	56601
6632	CULLMAN	35055
6634	LAKE CITY	32055
6636	COTTONWOOD	86326
6637	MARSHFIELD	54449
6638	DILWORTH	56529
6639	MIDLOTHIAN	23112
6641	CHANHASSEN	55317
6642	LAS VEGAS	89117
6643	HOPKINSVILLE	42240
6644	LIVERMORE	94551
6645	CRYSTAL RIVER	34428
6646	KERRVILLE	78028
6648	CAROLINA	00987
6649	ELK RIVER	55330
6650	FOREST LAKE	55025
6656	MONROE	28110
6657	OAK HARBOR	98277
6658	VANCOUVER	98684
6659	ORLANDO	32828
6660	SELMA	93662
6661	HANOVER	02339
6662	AVONDALE	85392
6663	ROSWELL	30075
6667	SAN JUAN	00918
6668	KNOXVILLE	37912
6669	ALEXANDRIA	56308
6670	SMITHFIELD	27577
6671	MECHANICSVILLE	23111
6674	CHESTERFIELD	63005
6675	RICE LAKE	54868
6677	PLANO	75093
6678	APACHE JUNCTION	85120
6680	RHINELANDER	54501
6681	SHAWNEE	66217
6682	SHELBY	28150
6683	TUCSON	85719
6684	WEATHERFORD	76086
6686	WEST JORDAN	84084
6687	HOMEWOOD	60430
6688	WOODSTOCK	30189
6689	SURPRISE	85374
6691	FENTON	63026
6692	PHOENIX	85050
6694	TUCSON	-1165
6695	KNOXVILLE	37932
6696	CEDAR HILL	75104
6697	ROUND LAKE BEACH	60073
6698	GRAFTON	53024
6699	ORO VALLEY	85737
6700	SHAKOPEE	55379
6701	LEMONT	60439
6704	HIGHLANDS RANCH	80126
6705	HIRAM	30141
6706	HOUSTON	77084
6708	THORNTON	80233
6709	BOLINGBROOK	60490
6710	OSWEGO	60543
6711	MANATI	00674
6713	ST. LOUIS	63116
6714	GRANDVILLE	49418
6715	APEX	27502
6716	ARDEN	28704
6717	GILBERT	85295
6718	CHANDLER	85248
6724	ESTERO	33928
6725	MACEDONIA	44056
6728	WENTZVILLE	63385
6729	OAK CREEK	53154
6730	LOCKPORT	14094
6733	TUCSON	85748
6734	SUWANEE	30024
6736	FLORISSANT	63033
6737	JACKSONVILLE	32224
6738	COLORADO SPRINGS	80922
6739	PORTLAND	97209
6742	ashtabula 44004HJMU8	43068
6744	MIAMI	33186
6745	AUSTIN	78748
6746	FLOWER MOUND	75028
6747	NEW BERLIN	53151
6749	HOFFMAN ESTATES	60195
6750	BEE CAVE	78738
6751	APPLETON	54915
6752	HILLIARD	43026
6753	LA QUINTA	92253
6754	RAYMORE	64083
6756	KNIGHTDALE	27545
6757	COLUMBUS	43214
6758	PEORIA	85383
6760	JACKSONVILLE	32218
6761	LAS VEGAS	89113
6762	NASHVILLE	37211
6763	HIGHLANDS RANCH	80129
6767	SAVAGE	55378
6768	OWATONNA	55060
6769	CANTON	30114
6770	TARENTUM	15084
6771	SOUTH JORDAN	84095
6774	AUSTIN	78751
6775	CHARLOTTE	28216
6776	COTTLEVILLE	63304
6777	CHARLOTTE	28273
6778	GAYLORD	49735
6779	LACEY	98509
6780	KAILUA KONA	96740
6781	BEACHWOOD	44122
6782	KATY	77494
6783	TINLEY PARK	60487
6785	SAN ANTONIO	78258
6786	MEDINA	55340
6788	VIRGINIA BEACH	23454
6791	RED WING	55066
6792	SCOTTSDALE	85262
6793	CARMEL	46032
6795	HOUSTON	77005
6796	HERMISTON	97838
6797	CAPE CORAL	33991
6798	PORT SAINT LUCIE	34987
6800	FONTANA	92336
6801	PAPILLION	68046
6802	MONTICELLO	55362
6804	WADSWORTH	44281
6805	CASTLE ROCK	80108
6806	INVERNESS	34453
6809	LAKE GENEVA	53147
6810	DELAWARE	43015
6811	PERRYSBURG	43551
6812	ROSENBERG	77471
6813	VIRGINIA BEACH	23456
6814	RICHMOND	23231
6815	FLOWERY BRANCH	30542
6816	SAN ANTONIO	78253
6817	EUGENE	97405
6818	MIDLOTHIAN	23113
6819	BALLWIN	63011
6820	MAGNOLIA	77354
6822	CEDAR PARK	78613
6825	YORKVILLE	60560
6826	JACKSONVILLE	32222
6827	PEORIA	85305
6828	BELLEVILLE	62226
6829	POULSBO	98370
6830	OXFORD	36203
6831	SARASOTA	34238
6832	KAPOLEI	96707
6834	WICHITA	67205
6837	LAHAINA	96761
6838	TEMPLE	76504
6839	BATTLE CREEK	49015
6840	AMHERST	-2705
6841	MAPLE GROVE	55369
6842	WAUWATOSA	53213
6843	OMAHA	68137
6844	SUFFOLK	23435
6846	GUAYNABO	00969
6847	WEST DES MOINES	50266
6848	NEW BRAUNFELS	-2501
6849	BLAINE	55449
6850	MESA	85201
6852	LOGANVILLE	30052
6857	HATILLO	00659
6858	JUNEAU	99801
