storeno	city	zip
483	DENTON	76205
486	STOCKTON	95207
489	CHICAGO	60615
490	ST PETERSBURG	33702
492	STERLING HEIGHTS	48313
493	WILLIAMSVILLE	14221
494	SAN DIEGO	92129
495	HOUSTON	77064
498	EL PASO	79936
504	HIGHLAND	46322
509	JACKSON	38305
510	EVANSTON	60201
511	ORLANDO	32818
512	FLORENCE	41042
513	NORMAL	61761
514	LITTLE ROCK	72202
517	LA CRESCENTA	91214
518	ALLENTOWN	18104
519	MCALLEN	78504
526	HARLINGEN	78550
527	LAREDO	78041
530	BLOOMINGTON	47404
531	CLARKSVILLE	37040
532	MEMPHIS	38103
536	KNOXVILLE	37917
539	VICTORIA	77904
542	HILLSBORO	97123
544	CORAL SPRINGS	33071
547	SALISBURY	28144
548	CONWAY	72032
552	DESOTO	75115
553	NEWNAN	30265
554	IRVING	75063
557	ANCHORAGE	99501
558	SAN CARLOS	94070
567	WESTMINSTER	80031
568	CHICAGO	60654
569	OVERLAND PARK	66212
576	FAIRFAX	22030
578	MEMPHIS	38133
580	LOVELAND	80538
581	ALBUQUERQUE	87107
582	LAWTON	73505
583	RENO	89512
584	FOUNTAIN VALLEY	92708
589	SAN ANGELO	76904
590	MCKINNEY	75069
591	LILBURN	30047
592	COLUMBUS	39705
593	NORTHGLENN	80234
594	FORT WAYNE	46804
596	ARLINGTON	76016
597	DELRAY BEACH	33484
598	TORRANCE	90501
599	PASADENA	91106
605	OWENSBORO	42301
606	LOS ANGELES	90045
609	TEMECULA	92591
610	SAINT JOSEPH	64506
614	TIMONIUM	21093
615	SAINT CLOUD	56301
617	OAK PARK	48237
618	GALVESTON	77551
620	CONROE	77304
623	ALCOA	37701
625	JOPLIN	64804
626	REDLANDS	92374
627	MORENO VALLEY	92553
628	HOUSTON	77015
629	SOUTHAVEN	38671
630	HUNTSVILLE	77320
632	VOORHEES	08043
635	RICHMOND HEIGHTS	63117
636	BLUE SPRINGS	64014
637	EDISON	08837
639	DURANGO	81301
643	OMAHA	68164
644	AUBURN	98002
645	PORTLAND	97205
646	ANCHORAGE	99503
648	FRESNO	93711
650	OLATHE	66062
652	NORWALK	90650
653	FORT OGLETHORPE	30742
655	VIRGINIA BEACH	23454
662	ROGERS	72756
663	HOUSTON	77037
664	PALESTINE	75801
665	BAYTOWN	77521
666	ALHAMBRA	91803
669	WOODHAVEN	48183
671	EL DORADO	71730
673	CHEEKTOWAGA	14225
676	OKLAHOMA CITY	73128
682	FOLSOM	95630
687	ATHENS	75751
689	SAN MARCOS	78666
691	WAXAHACHIE	75165
697	GONZALES	70737
698	SAN JOSE	95121
699	MUSKOGEE	74401
802	SAN MATEO	94403
810	TIGARD	97223
811	SEATTLE	98134
814	SAN DIEGO	92121
818	SAN DIEGO	92110
819	BELLEVUE	98004
820	SIGNAL HILL	90755
829	SAN RAFAEL	94901
830	DUBLIN	94568
832	PORTLAND	97214
842	SAN BERNARDINO	92408
846	LA MESA	91942
851	BELLINGHAM	98226
855	SALEM	97302
858	HONOLULU	96817
860	SAN LEANDRO	94577
861	IRVINE	92612
863	SPOKANE	99202
864	HAPPY VALLEY	97086
867	SAND CITY	93955
869	MOUNTAIN VIEW	94040
878	TORRANCE	90503
879	HOLLYWOOD	90038
884	REDDING	96002
886	THOUSAND OAKS	91360
888	PORTLAND	97220
889	NORTHRIDGE	91324
892	SYLMAR	91342
893	BEAVERTON	97005
895	WHITTIER	90603
896	COMMERCE	90040
900	LOS ANGELES	90007
902	VAN NUYS	91411
907	SEATTLE	98133
908	SANTEE	92071
909	SUNNYVALE	94087
911	LACEY	98503
912	BURBANK	91502
913	LAS VEGAS	89102
916	TORRANCE	90505
917	CHICO	95928
920	EUGENE	97408
921	TIGARD	97224
922	SANTA MARIA	93454
923	TEMPLE CITY	91780
928	ROSEVILLE	95661
929	FULLERTON	92832
931	VENTURA	93003
934	SAN DIEGO	92101
935	CHULA VISTA	91911
939	SACRAMENTO	95823
940	MEDFORD	97504
941	SANTA ROSA	95407
942	SAN DIEGO	92108
943	VISALIA	93277
945	FRESNO	93721
948	NAPA	94559
949	ENCINO	91436
950	LOS GATOS	95032
951	CULVER CITY	90230
952	BAKERSFIELD	93309
954	BEAVERTON	97006
955	SAN RAMON	94583
956	SEATTLE	98105
959	AIEA	96701
962	KENNEWICK	99336
963	NATIONAL CITY	91950
964	SANTA FE	87505
965	ENCINITAS	92024
969	FRESNO	93710
970	GARDEN GROVE	92843
972	SALT LAKE CITY	84115
973	CARSON CITY	89701
975	ISSAQUAH	98027
977	GRESHAM	97030
978	EAST PALO ALTO	94303
979	MILLBRAE	94030
980	MOUNT VERNON	98273
982	EVERETT	98204
983	SACRAMENTO	95841
988	MODESTO	95350
991	SANTA FE	87501
2002	MOUNT PLEASANT	29464
2003	RAPID CITY	57701
2084	GERMANTOWN	38138
2085	EDMOND	73034
2087	MERIDIAN	83642
2088	SEATTLE	98101
2093	SPRING	77388
2094	ANDERSON	46013
2095	SOMERSET	42501
2097	MURRAY	42071
2098	WINDCREST	78239
2099	EL CAJON	92020
2101	LOS ANGELES	90012
2102	DENVER	80123
2103	GREENVILLE	38703
2104	NAMPA	83651
2106	SEVERNA PARK	21146
2110	MONTROSE	81401
2111	HAMMOND	70401
2112	PASCAGOULA	39581
2113	GULF BREEZE	32561
2115	WEST PALM BEACH	33414
2116	FREDERICK	21704
2117	LUFKIN	75901
2118	LA VISTA	68128
2119	JACKSONVILLE	32257
2120	EVANSVILLE	47712
2121	PEARL	39208
2122	FRISCO	75034
2127	COLUMBIA	29223
2129	MADERA	93637
2130	MOUNT DORA	32757
2131	POPLAR BLUFF	63901
2132	TULSA	74133
2133	OWASSO	74055
2134	EULESS	76040
2135	BILLINGS	59105
2136	CALHOUN	30701
2137	ENGLEWOOD	80110
2138	THOMASVILLE	31792
2139	CHATTANOOGA	37421
2140	STOCKBRIDGE	30281
2141	LAS VEGAS	89183
2143	NORTH LAS VEGAS	89032
2144	CARROLLTON	75007
